column,role,dtype,missing_count,description
pitch_SI_insufficient_history,feature,int64,0,Flag that the minimum historical sample was not available before this game.
pitch_SL_usage,feature,float64,1885,Pre-game context or historical feature.
pitch_SL_velocity,feature,Float64,9940,Pre-game context or historical feature.
pitch_SL_whiff_rate,feature,float64,9940,Historical rate calculated using observations strictly before the game date.
pitch_SL_strike_rate,feature,float64,9940,Historical rate calculated using observations strictly before the game date.
pitch_SL_csw_rate,feature,float64,9940,Historical rate calculated using observations strictly before the game date.
pitch_SL_usage_change_vs_season,feature,float64,1885,"Pre-game historical aggregate, shifted to exclude the current appearance."
pitch_SL_velocity_change_vs_season,feature,Float64,9940,"Pre-game historical aggregate, shifted to exclude the current appearance."
pitch_SL_insufficient_history,feature,int64,0,Flag that the minimum historical sample was not available before this game.
pitch_ST_usage,feature,float64,1885,Pre-game context or historical feature.
pitch_ST_velocity,feature,Float64,17939,Pre-game context or historical feature.
pitch_ST_whiff_rate,feature,float64,17939,Historical rate calculated using observations strictly before the game date.
pitch_ST_strike_rate,feature,float64,17939,Historical rate calculated using observations strictly before the game date.
pitch_ST_csw_rate,feature,float64,17939,Historical rate calculated using observations strictly before the game date.
pitch_ST_usage_change_vs_season,feature,float64,1885,"Pre-game historical aggregate, shifted to exclude the current appearance."
pitch_ST_velocity_change_vs_season,feature,Float64,17939,"Pre-game historical aggregate, shifted to exclude the current appearance."
pitch_ST_insufficient_history,feature,int64,0,Flag that the minimum historical sample was not available before this game.
pitch_SV_usage,feature,float64,1885,Pre-game context or historical feature.
pitch_SV_velocity,feature,Float64,23597,Pre-game context or historical feature.
pitch_SV_whiff_rate,feature,float64,23597,Historical rate calculated using observations strictly before the game date.
pitch_SV_strike_rate,feature,float64,23597,Historical rate calculated using observations strictly before the game date.
pitch_SV_csw_rate,feature,float64,23597,Historical rate calculated using observations strictly before the game date.
pitch_SV_usage_change_vs_season,feature,float64,1885,"Pre-game historical aggregate, shifted to exclude the current appearance."
pitch_SV_velocity_change_vs_season,feature,Float64,23597,"Pre-game historical aggregate, shifted to exclude the current appearance."
pitch_SV_insufficient_history,feature,int64,0,Flag that the minimum historical sample was not available before this game.
opponent_team_k_pct,feature,float64,150,Historical rate calculated using observations strictly before the game date.
opponent_team_bb_pct,feature,float64,150,Historical rate calculated using observations strictly before the game date.
opponent_team_swstr_pct,feature,float64,150,Historical rate calculated using observations strictly before the game date.
opponent_team_contact_pct,feature,float64,150,Historical rate calculated using observations strictly before the game date.
opponent_team_chase_pct,feature,float64,150,Historical rate calculated using observations strictly before the game date.
opponent_team_history_games,feature,int64,0,Pre-game context or historical feature.
opponent_team_insufficient_history,feature,int64,0,Flag that the minimum historical sample was not available before this game.
opponent_k_pct_vs_RHP,feature,float64,305,Pre-game context or historical feature.
opponent_contact_pct_vs_RHP,feature,float64,305,Pre-game context or historical feature.
opponent_R_history_games,feature,float64,155,Pre-game context or historical feature.
opponent_k_pct_vs_LHP,feature,float64,5351,Pre-game context or historical feature.
opponent_contact_pct_vs_LHP,feature,float64,5351,Pre-game context or historical feature.
opponent_L_history_games,feature,float64,5201,Pre-game context or historical feature.
strikeouts,target,int64,0,Post-game target; never used as an input feature.
outs_recorded,target,int64,0,Post-game target; never used as an input feature.
pitches_thrown,target,int64,0,Post-game target; never used as an input feature.
batters_faced,target,int64,0,Post-game target; never used as an input feature.
